=== podejscie 1, 2026-08-14 17:29:52 CEST ===
[316/480] F9-R2 b=14 q=1 NO_R2_CANON p99=171405 ns
[317/480] F9-R2 b=14 q=2 NO_R1_FACTOR p99=325681 ns
[318/480] F9-R2 b=14 q=2 NO_R1_NO_R2 p99=341144 ns
[319/480] F9-R2 b=14 q=2 NO_R2_CANON p99=355699 ns
[320/480] F9-R2 b=14 q=2 DEFAULT p99=331033 ns
[321/480] F9-R2 b=14 q=4 NO_R1_NO_R2 p99=634825 ns
[322/480] F9-R2 b=14 q=4 NO_R1_FACTOR p99=547289 ns
[323/480] F9-R2 b=14 q=4 NO_R2_CANON p99=621326 ns
[324/480] F9-R2 b=14 q=4 DEFAULT p99=564659 ns
[325/480] F9-R2 b=14 q=8 NO_R1_FACTOR p99=978821 ns
[326/480] F9-R2 b=14 q=8 NO_R1_NO_R2 p99=1044728 ns
[327/480] F9-R2 b=14 q=8 DEFAULT p99=970341 ns
[328/480] F9-R2 b=14 q=8 NO_R2_CANON p99=1063487 ns
[329/480] F9-R2 b=14 q=16 NO_R2_CANON p99=1855978 ns
[330/480] F9-R2 b=14 q=16 DEFAULT p99=1841330 ns
[331/480] F9-R2 b=14 q=16 NO_R1_NO_R2 p99=1880237 ns
[332/480] F9-R2 b=14 q=16 NO_R1_FACTOR p99=1826792 ns
[333/480] F9-R2 b=14 q=32 NO_R1_FACTOR p99=3453329 ns
[334/480] F9-R2 b=14 q=32 NO_R2_CANON p99=3499087 ns
[335/480] F9-R2 b=14 q=32 NO_R1_NO_R2 p99=3549641 ns
[336/480] F9-R2 b=14 q=32 DEFAULT p99=3438643 ns
[337/480] F9-R2 b=15 q=1 NO_R2_CANON p99=159831 ns
[338/480] F9-R2 b=15 q=1 DEFAULT p99=173313 ns
[339/480] F9-R2 b=15 q=1 NO_R1_FACTOR p99=192868 ns
[340/480] F9-R2 b=15 q=1 NO_R1_NO_R2 p99=167757 ns
[341/480] F9-R2 b=15 q=2 NO_R1_NO_R2 p99=461680 ns
[342/480] F9-R2 b=15 q=2 NO_R1_FACTOR p99=341718 ns
[343/480] F9-R2 b=15 q=2 NO_R2_CANON p99=352570 ns
[344/480] F9-R2 b=15 q=2 DEFAULT p99=320940 ns
[345/480] F9-R2 b=15 q=4 NO_R1_FACTOR p99=545716 ns
[346/480] F9-R2 b=15 q=4 DEFAULT p99=570401 ns
[347/480] F9-R2 b=15 q=4 NO_R1_NO_R2 p99=622085 ns
[348/480] F9-R2 b=15 q=4 NO_R2_CANON p99=614122 ns
[349/480] F9-R2 b=15 q=8 NO_R2_CANON p99=1043488 ns
[350/480] F9-R2 b=15 q=8 NO_R1_FACTOR p99=984285 ns
[351/480] F9-R2 b=15 q=8 NO_R1_NO_R2 p99=1059618 ns
[352/480] F9-R2 b=15 q=8 DEFAULT p99=969859 ns
[353/480] F9-R2 b=15 q=16 NO_R2_CANON p99=1863644 ns
[354/480] F9-R2 b=15 q=16 NO_R1_FACTOR p99=1819608 ns
[355/480] F9-R2 b=15 q=16 NO_R1_NO_R2 p99=1816812 ns
[356/480] F9-R2 b=15 q=16 DEFAULT p99=1762479 ns
[357/480] F9-R2 b=15 q=32 NO_R1_NO_R2 p99=3524198 ns
[358/480] F9-R2 b=15 q=32 NO_R2_CANON p99=3577642 ns
[359/480] F9-R2 b=15 q=32 NO_R1_FACTOR p99=3434440 ns
[360/480] F9-R2 b=15 q=32 DEFAULT p99=3454958 ns
[361/480] F9-R2 b=16 q=1 NO_R2_CANON p99=185942 ns
[362/480] F9-R2 b=16 q=1 NO_R1_FACTOR p99=165886 ns
[363/480] F9-R2 b=16 q=1 DEFAULT p99=165757 ns
