plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
1957,HC_INT,n0,2/5,1/10,1,0,1,1
1962,HASH,n0,1/16,2/3,12,0,12,12
1962,HASH,n1,2/3,1/16,2,0,2,2
1969,HC_NONINT,n0,4/25,1/100,1,0,1,1
1969,HC_NONINT,n1,1/100,4/25,16,0,16,16
1976,HASH,n0,1/16,3/10,6,0,6,6
1976,HASH,n1,3/10,1/16,2,0,2,2
1985,HC_INT,n0,1/4,1/100,1,0,1,1
1987,HC_DEEP,n4,2/3,1/8,2,0,2,2
1990,HASH,n0,1/3,147/1000,2,0,2,2
1990,HASH,n3,1/3,147/1000,2,0,2,2
1997,HC_NONINT,n0,1/8,1,8,0,8,8
1999,HC_INT,n1,1/8,1/8,1,0,1,1
2004,HASH,n0,1/2,1/4,1,0,1,1
2018,HASH,n0,1/3,1/3,1,0,1,1
2032,HASH,n0,3/8,1/2,2,0,2,2
2032,HASH,n2,3/8,1/2,2,0,2,2
2041,HC_INT,n0,2/5,1/5,1,0,1,1
2043,HC_DEEP,n3,1/8,3/10,4,0,4,4
2046,HASH,n0,1/100,1/5,20,0,20,20
2053,HC_NONINT,n0,1/16,3/8,6,0,6,6
2055,HC_INT,n0,1/2,1/100,1,0,1,1
2057,HC_DEEP,n1,2/3,3/10,2,0,2,2
2060,HASH,n0,1/3,1/10,2,0,2,2
2067,HC_NONINT,n0,1,5/8,2,0,2,2
2069,HC_INT,n4,3/8,3/8,1,0,1,1
2071,HC_DEEP,n0,1/4,3/8,2,0,2,2
2074,HASH,n0,1/2,1/16,1,0,1,1
2082,HC_SHIFT_UNDER_HASH,n0,1,1/16,1,0,1,1
2085,HC_DEEP,n0,1/5,2/3,4,0,4,4
2088,HASH,n0,3/10,2/3,4,0,4,4
2095,HC_NONINT,n0,1/4,3/10,2,0,2,2
2097,HC_INT,n0,1/4,1,4,0,4,4
2102,HASH,n0,2/5,1/100,1,0,1,1
2109,HC_NONINT,n2,1/10,1/3,4,0,4,4
2116,HASH,n0,1/3,2/5,2,0,2,2
2116,HASH,n1,2/5,1/3,2,0,2,2
2123,HC_NONINT,n1,1/4,147/1000,2,0,2,2
2125,HC_INT,n0,3/10,1/100,1,0,1,1
2130,HASH,n0,1/3,2/5,2,0,2,2
2144,HASH,n0,1,1/8,1,0,1,1
2151,HC_NONINT,n0,1/8,1/4,2,0,2,2
2152,HC_SHIFT_UNDER_HASH,n2,1/5,1/100,1,0,1,1
2158,HASH,n0,1/8,5/8,5,0,5,5
2158,HASH,n1,1/8,5/8,5,0,5,5
2165,HC_NONINT,n0,3/10,1/2,3,0,3,3
2169,HC_DEEP,n3,1,1,1,0,1,1
2172,HASH,n0,1/10,3/8,5,0,5,5
2179,HC_NONINT,n0,1/10,5/8,7,0,7,7
2181,HC_INT,n0,1/4,1/16,1,0,1,1
2186,HASH,n0,2/5,1/8,2,0,2,2
2186,HASH,n1,1/8,2/5,4,0,4,4
2195,HC_INT,n0,2/3,1/3,1,0,1,1
2200,HASH,n0,2/5,147/1000,2,0,2,2
2207,HC_NONINT,n0,5/8,147/1000,2,0,2,2
2214,HASH,n0,3/8,2/3,3,0,3,3
2214,HASH,n2,3/8,2/3,3,0,3,3
2221,HC_NONINT,n0,1/5,2/5,2,0,2,2
2223,HC_INT,n1,5/8,1/10,2,0,2,2
2228,HASH,n0,1/4,1,4,0,4,4
2235,HC_NONINT,n0,1/2,3/10,2,0,2,2
2239,HC_DEEP,n1,5/8,1/5,2,0,2,2
2242,HASH,n0,4/25,1/16,2,0,2,2
2249,HC_NONINT,n0,1/3,5/8,3,0,3,3
2250,HC_SHIFT_UNDER_HASH,n0,3/10,1/8,2,0,2,2
2250,HC_SHIFT_UNDER_HASH,n1,3/10,1/8,2,0,2,2
2256,HASH,n0,5/8,1/16,1,0,1,1
2263,HC_NONINT,n1,1/3,1/5,2,0,2,2
